brand                                       mfr  calories    protein     fat          fibre
"100% Bran"                               N 212.12121 12.1212121 3.0303030       30.303030
"All-Bran"                                K 212.12121 12.1212121 3.0303030       27.272727
"All-Bran with Extra Fiber"               K 100.00000  8.0000000 0.0000000       28.000000
"Apple Cinnamon Cheerios"                 G 146.66667  2.6666667 2.6666667        2.000000
"Apple Jacks"                             K 110.00000  2.0000000 0.0000000        1.000000
"Basic 4"                                 G 173.33333  4.0000000 2.6666667        2.666667
"Bran Chex"                               R 134.32836  2.9850746 1.4925373        5.970149
"Bran Flakes"                             P 134.32836  4.4776119 0.0000000        7.462687
"Cap'n'Crunch"                            Q 160.00000  1.3333333 2.6666667        0.000000
"Cheerios"                                G  88.00000  4.8000000 1.6000000        1.600000
"Cinnamon Toast Crunch"                   G 160.00000  1.3333333 4.0000000        0.000000
"Clusters"                                G 220.00000  6.0000000 4.0000000        4.000000
"Cocoa Puffs"                             G 110.00000  1.0000000 1.0000000        0.000000
"Corn Chex"                               R 110.00000  2.0000000 0.0000000        0.000000
"Corn Flakes"                             K 100.00000  2.0000000 0.0000000        1.000000
"Corn Pops"                               K 110.00000  1.0000000 0.0000000        1.000000
"Count Chocula"                           G 110.00000  1.0000000 1.0000000        0.000000
"Cracklin' Oat Bran"                      K 220.00000  6.0000000 6.0000000        8.000000
"Crispix"                                 K 110.00000  2.0000000 0.0000000        1.000000
"Crispy Wheat & Raisins"                  G 133.33333  2.6666667 1.3333333        2.666667
"Double Chex"                             R 133.33333  2.6666667 0.0000000        1.333333
"Froot Loops"                             K 110.00000  2.0000000 1.0000000        1.000000
"Frosted Flakes"                          K 146.66667  1.3333333 0.0000000        1.333333
"Frosted Mini-Wheats"                     K 125.00000  3.7500000 0.0000000        3.750000
"Fruit & Fibre: Dates Walnuts and Oats"   P 179.10448  4.4776119 2.9850746        7.462687
"Fruitful Bran"                           K 179.10448  4.4776119 0.0000000        7.462687
"Fruity Pebbles"                          P 146.66667  1.3333333 1.3333333        0.000000
"Golden Crisp"                            P 113.63636  2.2727273 0.0000000        0.000000
"Golden Grahams"                          G 146.66667  1.3333333 1.3333333        0.000000
"Grape Nuts Flakes"                       P 113.63636  3.4090909 1.1363636        3.409091
"Grape-Nuts"                              P 440.00000 12.0000000 0.0000000       12.000000
"Great Grains Pecan"                      P 363.63636  9.0909091 9.0909091        9.090909
"Honey Graham Ohs"                        Q 120.00000  1.0000000 2.0000000        1.000000
"Honey Nut Cheerios"                      G 146.66667  4.0000000 1.3333333        2.000000
"Honey-comb"                              P  82.70677  0.7518797 0.0000000        0.000000
"Just Right Fruit & Nut"                  K 186.66667  4.0000000 1.3333333        2.666667
"Kix"                                     G  73.33333  1.3333333 0.6666667        0.000000
"Life"                                    Q 149.25373  5.9701493 2.9850746        2.985075
"Lucky Charms"                            G 110.00000  2.0000000 1.0000000        0.000000
"Mueslix Crispy Blend"                    K 238.80597  4.4776119 2.9850746        4.477612
"Multi-Grain Cheerios"                    G 100.00000  2.0000000 1.0000000        2.000000
"Nut&Honey Crunch"                        K 179.10448  2.9850746 1.4925373        0.000000
"Nutri-Grain Almond-Raisin"               K 208.95522  4.4776119 2.9850746        4.477612
"Oatmeal Raisin Crisp"                    G 260.00000  6.0000000 4.0000000        3.000000
"Post Nat. Raisin Bran"                   P 179.10448  4.4776119 1.4925373        8.955224
"Product 19"                              K 100.00000  3.0000000 0.0000000        1.000000
"Puffed Rice"                             Q  50.00000  1.0000000 0.0000000        0.000000
"Quaker Oat Squares"                      Q 200.00000  8.0000000 2.0000000        4.000000
"Raisin Bran"                             K 160.00000  4.0000000 1.3333333        6.666667
"Raisin Nut Bran"                         G 200.00000  6.0000000 4.0000000        5.000000
"Raisin Squares"                          K 180.00000  4.0000000 0.0000000        4.000000
"Rice Chex"                               R  97.34513  0.8849558 0.0000000        0.000000
"Rice Krispies"                           K 110.00000  2.0000000 0.0000000        0.000000
"Shredded Wheat 'n'Bran"                  N 134.32836  4.4776119 0.0000000        5.970149
"Shredded Wheat spoon size"               N 134.32836  4.4776119 0.0000000        4.477612
"Smacks"                                  K 146.66667  2.6666667 1.3333333        1.333333
"Special K"                               K 110.00000  6.0000000 0.0000000        1.000000
"Total Corn Flakes"                       G 110.00000  2.0000000 1.0000000        0.000000
"Total Raisin Bran"                       G 140.00000  3.0000000 1.0000000        4.000000
"Total Whole Grain"                       G 100.00000  3.0000000 1.0000000        3.000000
"Triples"                                 G 146.66667  2.6666667 1.3333333        0.000000
"Trix"                                    G 110.00000  1.0000000 1.0000000        0.000000
"Wheat Chex"                              R 149.25373  4.4776119 1.4925373        4.477612
"Wheaties"                                G 100.00000  3.0000000 1.0000000        3.000000
"Wheaties Honey Gold"                     G 146.66667  2.6666667 1.3333333        1.333333
