"PPVT" "RPMT" "SAT" "N" "S" "NS" "NAc" "SS"
68 15 24 0 10 8 21 22
82 11 8 7 3 21 28 21
82 13 88 7 9 17 31 30
91 18 82 6 11 16 27 25
82 13 90 20 7 21 28 16
100 15 77 4 11 18 32 29
100 13 58 6 7 17 26 23
96 12 14 5 2 11 22 23
63 10 1 3 5 14 24 20
91 18 98 16 12 16 27 30
87 10 8 5 3 17 25 24
105 21 88 2 11 10 26 22
87 14 4 1 4 14 25 19
76 16 14 11 5 18 27 22
66 14 38 0 0 3 16 11
74 15 4 5 8 11 12 15
68 13 64 1 6 19 28 23
98 16 88 1 9 12 30 18
63 15 14 0 13 13 19 16
94 16 99 4 6 14 27 19
82 18 50 4 5 16 21 24
89 15 36 1 6 15 23 28
80 19 88 5 8 14 25 24
61 11 14 4 5 11 16 22
102 20 24 5 7 17 26 15
71 12 24 9 4 8 16 14
102 16 24 4 17 21 27 31
96 13 50 5 8 20 28 26
55 16 8 4 7 19 20 13
96 18 98 4 7 10 23 19
74 15 98 2 6 14 25 17
78 19 50 5 10 18 27 26
