"L" "S" "R" "W" "group"
34 66 39 97 1
35 60 39 95 1
32 57 39 94 1
29 53 39 97 1
37 58 40 96 1
35 57 34 90 1
34 51 37 84 1
25 42 37 80 1
29 52 37 85 1
25 47 37 94 1
34 55 35 88 1
24 42 35 88 1
25 59 32 82 1
34 57 35 89 1
35 57 39 97 1
29 41 36 82 1
25 44 30 65 1
28 51 39 96 1
25 42 38 86 1
30 43 38 91 1
27 50 39 96 1
25 46 38 85 1
22 33 27 72 1
19 30 35 77 1
26 45 37 90 1
27 38 33 77 1
30 36 22 62 1
36 50 39 92 1
33 56 36 81 2
21 39 33 74 2
29 47 35 89 2
22 42 34 85 2
39 61 40 97 2
34 58 38 94 2
29 38 34 76 2
31 42 38 83 2
18 35 28 58 2
36 51 36 83 2
25 45 36 67 2
33 43 36 86 2
29 50 37 94 2
30 50 34 84 2
34 49 38 94 2
30 42 34 77 2
25 47 36 66 2
32 37 38 88 2
22 44 22 85 2
30 35 35 77 2
34 45 38 95 2
31 50 37 96 2
21 36 19 43 2
26 42 33 73 2
30 49 36 88 2
23 37 36 82 2
21 43 30 85 2
30 45 34 70 2
